geo_id,flat_cnt
0,80
1,149
2,16
3,83
4,20
5,19
6,82
7,77
8,30
9,52
10,6
11,6
12,5
13,46
14,80
15,20
16,79
17,168
18,158
19,125
20,75
21,74
22,19
23,46
24,125
25,214
26,94
27,94
28,95
29,60
30,98
31,69
32,105
33,94
34,5
35,47
36,111
37,105
38,108
39,52
40,210
41,32
42,250
43,95
44,46
45,111
46,109
47,111
48,110
49,110
50,15
51,56
52,68
53,68
54,111
55,32
56,111
57,46
58,87
59,12
60,50
61,60
62,108
63,40
64,59
65,67
66,40
67,60
68,136
69,9
70,16
71,31
72,34
73,4
74,71
75,95
76,90
77,130
78,36
79,41
80,120
81,66
82,74
83,45
84,100
85,85
86,45
87,152
88,291
89,32
90,32
91,165
92,242
93,168
94,2
95,18
96,64
97,98
98,1
99,80
100,26
101,76
102,177
103,40
104,55
105,5
106,86
107,60
108,48
109,80
110,271
111,301
112,32
113,32
114,138
115,18
116,60
117,60
118,24
119,33
120,12
121,80
122,80
123,109
124,41
125,89
126,111
127,111
128,64
129,84
130,45
131,60
132,111
133,69
134,104
135,32
136,64
137,78
138,40
139,105
140,108
141,16
142,17
143,94
144,167
145,100
146,80
147,96
148,110
149,111
150,240
151,78
152,111
153,69
154,144
155,108
156,80
157,60
158,60
159,46
160,60
161,60
162,46
163,45
164,51
165,395
166,18
167,107
168,60
169,54
170,111
171,111
172,111
173,110
174,112
175,70
176,116
177,112
178,45
179,4
180,6
181,6
182,80
183,61
184,7
185,150
186,125
187,80
188,108
189,66
190,72
191,158
192,80
193,178
194,23
195,15
196,16
197,54
198,8
199,80
200,9
201,5
202,153
203,114
204,70
205,48
206,211
207,120
208,128
209,136
210,204
211,45
212,17
213,35
214,108
215,1
216,48
217,100
218,100
219,110
220,178
221,40
222,81
223,110
224,104
225,69
226,216
227,179
228,72
229,160
230,95
231,72
232,80
233,80
234,50
235,50
236,32
237,231
238,111
239,107
240,45
241,12
242,24
243,48
244,68
245,60
246,75
247,143
248,60
249,60
250,16
251,126
252,75
253,51
254,80
255,7
256,69
257,88
258,65
259,114
260,55
261,6
262,89
263,239
264,117
265,60
266,NA
267,NA
268,160
269,80
270,407
271,20
272,148
273,60
274,222
275,222
276,94
277,204
278,5
279,192
280,125
281,154
282,211
283,52
284,98
285,161
286,142
287,72
288,60
289,54
290,95
291,95
292,108
293,191
294,191
295,185
296,105
297,191
298,95
299,105
300,192
301,96
302,96
303,105
304,192
305,190
306,78
307,144
308,143
309,60
310,60
311,24
312,48
313,91
314,80
315,60
316,78
317,60
318,144
319,60
320,60
321,24
322,98
323,98
324,143
325,144
326,180
327,97
328,98
329,98
330,98
331,98
332,168
333,134
334,24
335,144
336,91
337,204
338,191
339,141
340,150
341,287
342,111
343,203
344,159
345,80
346,144
347,111
348,100
349,68
350,106
351,167
352,143
353,176
354,80
355,203
356,203
357,40
358,80
359,50
360,80
361,48
362,72
363,45
364,100
365,141
366,58
367,80
368,58
369,32
370,29
371,144
372,77
373,144
374,215
375,191
376,159
377,95
378,462
379,259
380,220
381,53
382,36
383,77
384,144
385,167
386,111
387,21
388,16
389,80
390,319
391,4
392,32
393,84
394,60
395,139
396,50
397,64
398,81
399,88
400,108
401,108
402,48
403,55
404,203
405,459
406,93
407,80
408,48
409,81
410,67
411,50
412,24
413,48
414,80
415,68
416,72
417,60
418,214
419,144
420,78
421,92
422,213
423,48
424,46
425,98
426,109
427,63
428,80
429,80
430,80
431,72
432,80
433,60
434,36
435,110
436,80
437,80
438,80
439,56
440,144
441,80
442,79
443,143
444,354
445,144
446,65
447,60
448,93
449,48
450,79
451,68
452,72
453,29
454,72
455,80
456,80
457,79
458,6
459,92
460,24
461,139
462,40
463,32
464,32
465,24
466,24
467,51
468,144
469,144
470,143
471,108
472,167
473,212
474,60
475,60
476,80
477,80
478,128
479,128
480,36
481,80
482,80
483,80
484,80
485,75
486,46
487,91
488,80
489,93
490,60
491,4
492,3
493,48
494,144
495,144
496,103
497,285
498,35
499,40
500,272
501,60
502,60
503,60
504,60
505,22
506,30
507,48
508,80
509,80
510,80
511,137
512,75
513,261
514,109
515,111
516,187
517,190
518,189
519,111
520,166
521,214
522,198
523,94
524,112
525,144
526,98
527,128
528,48
529,216
530,80
531,57
532,80
533,60
534,110
535,139
536,44
537,33
538,84
539,60
540,58
541,80
542,80
543,80
544,60
545,61
546,95
547,5
548,119
549,80
550,120
551,5
552,7
553,127
554,251
555,251
556,4
557,47
558,182
559,144
560,144
561,168
562,215
563,80
564,60
565,144
566,144
567,338
568,45
569,45
570,90
571,40
572,38
573,63
574,81
575,80
576,70
577,80
578,80
579,80
580,434
581,50
582,380
583,109
584,284
585,384
586,98
587,80
588,276
589,128
590,91
591,143
592,223
593,56
594,60
595,8
596,80
597,80
598,111
599,108
600,110
601,75
602,64
603,80
604,80
605,108
606,36
607,60
608,80
609,45
610,44
611,80
612,71
613,127
614,78
615,73
616,168
617,144
618,144
619,165
620,111
621,111
622,140
623,190
624,95
625,39
626,67
627,71
628,174
629,173
630,264
631,249
632,83
633,82
634,258
635,119
636,128
637,263
638,470
639,6
640,60
641,4
642,260
643,319
644,174
645,106
646,143
647,83
648,128
649,96
650,83
651,390
652,303
653,102
654,159
655,323
656,168
657,168
658,751
659,428
660,260
661,296
662,99
663,127
664,171
665,130
666,437
667,165
668,80
669,80
670,80
671,100
672,80
673,48
674,80
675,32
676,48
677,111
678,190
679,238
680,80
681,80
682,80
683,246
684,104
685,368
686,104
687,83
688,82
689,84
690,152
691,229
692,67
693,84
694,144
695,128
696,128
697,348
698,160
699,106
700,135
701,338
702,338
703,111
704,168
705,195
706,135
707,164
708,128
709,260
710,106
711,220
712,264
713,82
714,136
715,221
716,119
717,338
718,245
719,246
720,119
721,395
722,229
723,168
724,168
725,248
726,335
727,191
728,171
729,257
730,136
731,606
732,82
733,104
734,38
735,230
736,63
737,169
738,20
739,58
740,286
741,72
742,60
743,3
744,55
745,52
746,4
747,80
748,60
749,60
750,16
751,72
752,80
753,84
754,72
755,20
756,52
757,50
758,60
759,72
760,84
761,56
762,128
763,40
764,84
765,77
766,77
767,214
768,81
769,144
770,81
771,179
772,215
773,50
774,30
775,29
776,40
777,72
778,37
779,358
780,84
781,216
782,84
783,179
784,214
785,60
786,60
787,30
788,50
789,60
790,60
791,50
792,90
793,40
794,60
795,105
796,111
797,59
798,59
799,84
800,80
801,144
802,79
803,84
804,501
805,143
806,111
807,48
808,71
809,100
810,60
811,75
812,37
813,68
814,214
815,84
816,142
817,84
818,160
819,59
820,50
821,50
822,112
823,80
824,360
825,144
826,84
827,60
828,100
829,84
830,110
831,332
832,179
833,144
834,143
835,111
836,84
837,358
838,29
839,40
840,100
841,100
842,100
843,59
844,60
845,100
846,144
847,84
848,143
849,144
850,48
851,63
852,48
853,42
854,56
855,84
856,60
857,84
858,128
859,84
860,53
861,144
862,64
863,252
864,287
865,94
866,83
867,84
868,113
869,79
870,80
871,48
872,64
873,48
874,80
875,62
876,54
877,96
878,104
879,84
880,179
881,60
882,50
883,137
884,143
885,251
886,20
887,67
888,72
889,80
890,71
891,30
892,84
893,180
894,111
895,44
896,118
897,37
898,168
899,106
900,273
901,60
902,80
903,39
904,84
905,180
906,110
907,106
908,180
909,45
910,287
911,203
912,50
913,80
914,5
915,80
916,80
917,144
918,84
919,76
920,40
921,40
922,40
923,107
924,50
925,50
926,42
927,111
928,108
929,45
930,20
931,20
932,20
933,103
934,47
935,22
936,104
937,60
938,60
939,5
940,20
941,60
942,60
943,60
944,7
945,103
946,105
947,69
948,62
949,60
950,143
951,143
952,142
953,29
954,237
955,30
956,59
957,42
958,144
959,66
960,104
961,30
962,84
963,57
964,96
965,30
966,60
967,144
968,64
969,66
970,30
971,64
972,8
973,8
974,84
975,80
976,80
977,68
978,56
979,20
980,20
981,332
982,105
983,312
984,178
985,142
986,84
987,205
988,79
989,84
990,94
991,78
992,130
993,78
994,77
995,52
996,110
997,84
998,518
999,267
1000,171
1001,83
1002,75
1003,36
1004,108
1005,108
1006,286
1007,48
1008,18
1009,55
1010,61
1011,20
1012,27
1013,8
1014,56
1015,53
1016,215
1017,72
1018,40
1019,20
1020,45
1021,43
1022,192
1023,4
1024,47
1025,72
1026,45
1027,20
1028,30
1029,72
1030,72
1031,58
1032,123
1033,320
1034,156
1035,115
1036,28
1037,30
1038,50
1039,128
1040,162
1041,27
1042,1
1043,101
1044,101
1045,87
1046,143
1047,136
1048,120
1049,6
1050,104
1051,120
1052,209
1053,264
1054,110
1055,205
1056,83
1057,100
1058,83
1059,2
1060,94
1061,133
1062,80
1063,29
1064,80
1065,40
1066,28
1067,84
1068,80
1069,45
1070,60
1071,15
1072,33
1073,8
1074,15
1075,48
1076,55
1077,20
1078,18
1079,72
1080,108
1081,24
1082,108
1083,40
1084,52
1085,60
1086,25
1087,128
1088,108
1089,60
1090,33
1091,104
1092,134
1093,42
1094,50
1095,107
1096,54
1097,84
1098,108
1099,40
1100,50
1101,108
1102,142
1103,71
1104,71
1105,72
1106,80
1107,120
1108,50
1109,80
1110,108
1111,58
1112,80
1113,81
1114,60
1115,60
1116,68
1117,60
1118,80
1119,80
1120,39
1121,54
1122,84
1123,20
1124,54
1125,40
1126,40
1127,60
1128,60
1129,97
1130,40
1131,71
1132,78
1133,86
1134,221
1135,111
1136,40
1137,55
1138,84
1139,80
1140,60
1141,60
1142,30
1143,40
1144,40
1145,53
1146,40
1147,40
1148,56
1149,120
1150,214
1151,60
1152,84
1153,59
1154,80
1155,74
1156,80
1157,80
1158,58
1159,148
1160,62
1161,40
1162,111
1163,60
1164,57
1165,16
1166,160
1167,100
1168,60
1169,80
1170,60
1171,59
1172,60
1173,60
1174,52
1175,70
1176,72
1177,71
1178,74
1179,71
1180,32
1181,80
1182,60
1183,72
1184,77
1185,40
1186,80
1187,69
1188,40
1189,60
1190,64
1191,105
1192,105
1193,72
1194,77
1195,29
1196,55
1197,32
1198,48
1199,30
1200,60
1201,134
1202,84
1203,15
1204,8
1205,8
1206,60
1207,80
1208,22
1209,60
1210,60
1211,68
1212,75
1213,84
1214,60
1215,15
1216,60
1217,8
1218,45
1219,64
1220,48
1221,199
1222,84
1223,16
1224,60
1225,60
1226,60
1227,141
1228,60
1229,49
1230,60
1231,93
1232,142
1233,60
1234,6
1235,80
1236,60
1237,60
1238,60
1239,60
1240,8
1241,8
1242,295
1243,212
1244,153
1245,203
1246,106
1247,382
1248,144
1249,283
1250,144
1251,263
1252,127
1253,215
1254,318
1255,382
1256,358
1257,240
1258,191
1259,284
1260,191
1261,339
1262,191
1263,318
1264,191
1265,191
1266,318
1267,180
1268,609
1269,191
1270,128
1271,190
1272,255
1273,143
1274,255
1275,373
1276,191
1277,203
1278,812
1279,744
1280,191
1281,255
1282,394
1283,373
1284,375
1285,286
1286,143
1287,94
1288,189
1289,258
1290,190
1291,217
1292,4
1293,192
1294,328
1295,287
1296,190
1297,125
1298,173
1299,283
1300,283
1301,174
1302,168
1303,128
1304,661
1305,211
1306,143
1307,214
1308,174
1309,191
1310,283
1311,359
1312,331
1313,191
1314,660
1315,95
1316,94
1317,212
1318,303
1319,249
1320,95
1321,286
1322,215
1323,88
1324,276
1325,281
1326,144
1327,142
1328,287
1329,143
1330,287
1331,287
1332,285
1333,111
1334,140
1335,467
1336,144
1337,215
1338,446
1339,211
1340,355
1341,338
1342,252
1343,128
1344,385
1345,389
1346,238
1347,288
1348,167
1349,144
1350,287
1351,111
1352,167
1353,111
1354,264
1355,192
1356,407
1357,474
1358,370
1359,168
1360,193
1361,192
1362,127
1363,128
1364,359
1365,604
1366,813
1367,168
1368,222
1369,38
1370,203
1371,119
1372,120
1373,119
1374,38
1375,37
1376,400
1377,279
1378,308
1379,276
1380,55
1381,43
1382,162
1383,391
1384,168
1385,72
1386,79
1387,191
1388,43
1389,163
1390,342
1391,34
1392,367
1393,279
1394,34
1395,26
1396,423
1397,278
1398,203
1399,192
1400,294
1401,472
1402,168
1403,224
1404,279
1405,91
1406,300
1407,168
1408,624
1409,154
1410,120
1411,120
1412,132
1413,127
1414,191
1415,202
1416,215
1417,191
1418,168
1419,36
1420,144
1421,341
1422,236
1423,371
1424,234
1425,279
1426,284
1427,54
1428,279
1429,426
1430,460
1431,260
1432,168
1433,191
1434,141
1435,224
1436,189
1437,248
1438,92
1439,179
1440,143
1441,94
1442,112
1443,479
1444,196
1445,284
1446,48
1447,48
1448,82
1449,82
1450,300
1451,96
1452,183
1453,82
1454,96
1455,96
1456,179
1457,48
1458,256
1459,184
1460,585
1461,383
1462,211
1463,96
1464,336
1465,272
1466,168
1467,259
1468,280
1469,364
1470,153
1471,152
1472,215
1473,89
1474,72
1475,202
1476,101
1477,223
1478,221
1479,150
1480,467
1481,510
1482,319
1483,189
1484,252
1485,260
1486,248
1487,277
1488,330
1489,87
1490,284
1491,172
1492,275
1493,333
1494,279
1495,514
1496,196
1497,300
1498,184
1499,262
1500,298
1501,300
1502,207
1503,99
1504,179
1505,48
1506,452
1507,688
1508,312
1509,233
1510,356
1511,226
1512,217
1513,396
1514,407
1515,128
1516,168
1517,280
1518,79
1519,370
1520,168
1521,58
1522,388
1523,37
1524,424
1525,34
1526,279
1527,29
1528,264
1529,215
1530,108
1531,167
1532,29
1533,43
1534,27
1535,222
1536,136
1537,152
1538,252
1539,260
1540,291
1541,238
1542,512
1543,711
1544,153
1545,112
1546,272
1547,474
1548,152
1549,128
1550,106
1551,156
1552,120
1553,78
1554,512
1555,361
1556,191
1557,202
1558,104
1559,104
1560,191
1561,236
1562,141
1563,236
1564,332
1565,384
1566,311
1567,280
1568,542
1569,248
1570,248
1571,333
1572,452
1573,172
1574,191
1575,384
1576,179
1577,172
1578,196
1579,112
1580,143
1581,48
1582,48
1583,463
1584,196
1585,118
1586,201
1587,374
1588,390
1589,159
1590,99
1591,173
1592,656
1593,384
1594,246
1595,100
1596,390
1597,75
1598,75
1599,60
1600,80
1601,120
1602,50
1603,80
1604,80
1605,96
1606,56
1607,60
1608,80
1609,80
1610,80
1611,60
1612,220
1613,7
1614,143
1615,70
1616,72
1617,69
1618,215
1619,127
1620,203
1621,338
1622,128
1623,338
1624,143
1625,192
1626,69
1627,287
1628,144
1629,144
1630,165
1631,144
1632,127
1633,287
1634,215
1635,25
1636,406
1637,127
1638,127
1639,8
1640,12
1641,8
1642,12
1643,12
1644,60
1645,36
1646,12
1647,8
1648,48
1649,12
1650,8
1651,4
1652,2
1653,4
1654,48
1655,8
1656,12
1657,12
1658,2
1659,4
1660,4
1661,4
1662,4
1663,4
1664,4
1665,5
1666,12
1667,280
1668,168
1669,168
1670,287
1671,215
1672,144
1673,12
1674,48
1675,48
1676,12
1677,12
1678,12
1679,8
1680,8
1681,12
1682,12
1683,12
1684,12
1685,12
1686,12
1687,12
1688,4
1689,4
1690,48
1691,12
1692,12
1693,12
1694,4
1695,8
1696,12
1697,4
1698,4
1699,60
1700,4
1701,4
1702,4
1703,168
1704,287
1705,287
1706,20
1707,12
1708,8
1709,12
1710,12
1711,12
1712,12
1713,60
1714,12
1715,12
1716,7
1717,12
1718,36
1719,4
1720,45
1721,80
1722,60
1723,12
1724,4
1725,12
1726,12
1727,4
1728,4
1729,4
1730,4
1731,2
1732,4
1733,4
1734,4
1735,4
1736,4
1737,4
1738,4
1739,4
1740,4
1741,144
1742,287
1743,150
1744,153
1745,174
1746,12
1747,105
1748,178
1749,124
1750,125
1751,5
1752,211
1753,215
1754,150
1755,174
1756,174
1757,83
1758,213
1759,84
1760,75
1761,358
1762,214
1763,12
1764,143
1765,96
1766,287
1767,26
1768,84
1769,167
1770,287
1771,420
1772,93
1773,56
1774,192
1775,214
1776,215
1777,178
1778,105
1779,111
1780,81
1781,215
1782,144
